t,electricity-power-consumption-monthly,electricity-per-capita-electricity-consumption-monthly,petroleum-petrol-sales-monthly,merchandise-exports-total-quarterly,electricity-power-generation-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly,port-services-cargo-handled-monthly
1986-03-01 00:00:00,1215.86,51.19,43978.0,288.8,1291.07,178.5,9831765.0
1986-06-01 00:00:00,1215.86,51.19,43978.0,260.3,1291.07,178.5,9831765.0
1986-09-01 00:00:00,1215.86,51.19,43978.0,329.0,1291.07,178.5,9831765.0
1986-12-01 00:00:00,1215.86,51.19,43978.0,331.6,1291.07,178.5,9831765.0
1987-03-01 00:00:00,1215.86,51.19,43978.0,278.7,1291.07,178.5,9831765.0
1987-06-01 00:00:00,1215.86,51.19,43978.0,373.6,1291.07,178.5,9831765.0
1987-09-01 00:00:00,1215.86,51.19,43978.0,339.4,1291.07,178.5,9831765.0
1987-12-01 00:00:00,1215.86,51.19,43978.0,404.1,1291.07,178.5,9831765.0
1988-03-01 00:00:00,1215.86,51.19,43978.0,339.5,1291.07,178.5,9831765.0
1988-06-01 00:00:00,1215.86,51.19,43978.0,406.9,1291.07,178.5,9831765.0
1988-09-01 00:00:00,1215.86,51.19,43978.0,344.1,1291.07,178.5,9831765.0
1988-12-01 00:00:00,1215.86,51.19,43978.0,386.7,1291.07,178.5,9831765.0
1989-03-01 00:00:00,1215.86,51.19,43978.0,358.1,1291.07,178.5,9831765.0
1989-06-01 00:00:00,1215.86,51.19,43978.0,381.0,1291.07,178.5,9831765.0
1989-09-01 00:00:00,1215.86,51.19,43978.0,343.7,1291.07,178.5,9831765.0
1989-12-01 00:00:00,1215.86,51.19,43978.0,464.3,1291.07,178.5,9831765.0
1990-03-01 00:00:00,1215.86,51.19,43978.0,430.5,1291.07,178.5,9831765.0
1990-06-01 00:00:00,1215.86,51.19,43978.0,437.8,1291.07,178.5,9831765.0
1990-09-01 00:00:00,1215.86,51.19,43978.0,548.4,1291.07,178.5,9831765.0
1990-12-01 00:00:00,1215.86,51.19,43978.0,567.2,1291.07,178.5,9831765.0
1991-03-01 00:00:00,1215.86,51.19,43978.0,507.5,1291.07,178.5,9831765.0
1991-06-01 00:00:00,1215.86,51.19,43978.0,487.7,1291.07,178.5,9831765.0
1991-09-01 00:00:00,1215.86,51.19,43978.0,531.1,1291.07,178.5,9831765.0
1991-12-01 00:00:00,1215.86,51.19,43978.0,513.1,1291.07,178.5,9831765.0
1992-03-01 00:00:00,1215.86,51.19,43978.0,583.9,1291.07,178.5,9831765.0
1992-06-01 00:00:00,1215.86,51.19,43978.0,490.5,1291.07,178.5,9831765.0
1992-09-01 00:00:00,1215.86,51.19,43978.0,576.5,1291.07,178.5,9831765.0
1992-12-01 00:00:00,1215.86,51.19,43978.0,810.0,1291.07,178.5,9831765.0
1993-03-01 00:00:00,1215.86,51.19,43978.0,640.5,1291.07,178.5,9831765.0
1993-06-01 00:00:00,1215.86,51.19,43978.0,667.1,1291.07,178.5,9831765.0
1993-09-01 00:00:00,1215.86,51.19,43978.0,744.2,1291.07,178.5,9831765.0
1993-12-01 00:00:00,1215.86,51.19,43978.0,811.8,1291.07,178.5,9831765.0
1994-03-01 00:00:00,1215.86,51.19,43978.0,655.7,1291.07,178.5,9831765.0
1994-06-01 00:00:00,1215.86,51.19,43978.0,758.8,1291.07,178.5,9831765.0
1994-09-01 00:00:00,1215.86,51.19,43978.0,882.5,1291.07,178.5,9831765.0
1994-12-01 00:00:00,1215.86,51.19,43978.0,911.6,1291.07,178.5,9831765.0
1995-03-01 00:00:00,1215.86,51.19,43978.0,828.0,1291.07,178.5,9831765.0
1995-06-01 00:00:00,1215.86,51.19,43978.0,923.8,1291.07,178.5,9831765.0
1995-09-01 00:00:00,1215.86,51.19,43978.0,983.8,1291.07,178.5,9831765.0
1995-12-01 00:00:00,1215.86,51.19,43978.0,1071.0,1291.07,178.5,9831765.0
1996-03-01 00:00:00,1215.86,51.19,43978.0,907.5,1291.07,178.5,9831765.0
1996-06-01 00:00:00,1215.86,51.19,43978.0,911.6,1291.07,178.5,9831765.0
1996-09-01 00:00:00,1215.86,51.19,43978.0,1099.7,1291.07,178.5,9831765.0
1996-12-01 00:00:00,1215.86,51.19,43978.0,1176.3,1291.07,178.5,9831765.0
1997-03-01 00:00:00,1215.86,51.19,43978.0,1013.1,1291.07,178.5,9831765.0
1997-06-01 00:00:00,1215.86,51.19,43978.0,1036.7,1291.07,178.5,9831765.0
1997-09-01 00:00:00,1215.86,51.19,43978.0,1284.7,1291.07,178.5,9831765.0
1997-12-01 00:00:00,1215.86,51.19,43978.0,1304.5,1291.07,178.5,9831765.0
1998-01-01 00:00:00,360.0,19.0,16960.0,1116.2,464.0,71.4,2342372.0
1998-02-01 00:00:00,369.0,20.0,14920.0,1116.2,423.0,71.4,2342372.0
1998-03-01 00:00:00,357.0,19.0,17000.0,1116.2,477.0,71.4,2342372.0
1998-04-01 00:00:00,364.0,19.0,18007.0,1116.2,445.0,71.4,2342372.0
1998-05-01 00:00:00,379.0,20.0,17223.0,1116.2,481.0,71.4,2342372.0
1998-06-01 00:00:00,388.0,21.0,17118.0,1136.1,2290.0,71.4,2342372.0
1998-07-01 00:00:00,363.0,19.0,17002.0,1136.1,481.0,71.4,2342372.0
1998-08-01 00:00:00,386.0,21.0,16891.0,1136.1,488.0,71.4,2342372.0
1998-09-01 00:00:00,389.0,21.0,17135.0,1317.8,486.0,71.4,2342372.0
1998-10-01 00:00:00,391.0,21.0,17589.0,1317.8,496.0,71.4,2342372.0
1998-11-01 00:00:00,412.0,22.0,16264.0,1317.8,479.0,71.4,2342372.0
1998-12-01 00:00:00,364.0,19.0,18215.0,1227.8,487.0,71.4,2342372.0
1999-01-01 00:00:00,385.0,20.0,16796.0,1227.8,487.0,71.4,2342372.0
1999-02-01 00:00:00,390.0,20.0,16116.0,1227.8,457.0,71.4,1954199.0
1999-03-01 00:00:00,375.0,20.0,18158.0,1008.3,520.0,71.4,2470096.0
1999-04-01 00:00:00,388.0,20.0,18411.0,1008.3,471.0,71.4,2216197.0
1999-05-01 00:00:00,397.0,21.0,17878.0,1008.3,517.0,71.4,2080370.0
1999-06-01 00:00:00,403.0,21.0,17480.0,1052.5,508.0,71.4,2393633.0
1999-07-01 00:00:00,397.0,21.0,18816.0,1052.5,534.0,71.4,2193406.0
1999-08-01 00:00:00,413.0,22.0,17783.0,1052.5,536.0,71.4,2288279.0
1999-09-01 00:00:00,423.0,22.0,17933.0,1278.4,532.0,71.4,2328608.0
1999-10-01 00:00:00,405.0,21.0,17433.0,1278.4,541.0,71.4,2193604.0
1999-11-01 00:00:00,421.0,22.0,17592.0,1278.4,536.0,71.4,2150798.0
1999-12-01 00:00:00,412.0,22.0,18678.0,1271.0,544.0,71.4,2383363.0
2000-01-01 00:00:00,423.0,22.0,17781.0,1271.0,553.0,71.4,2336206.0
2000-02-01 00:00:00,406.0,21.0,17476.0,1271.0,540.0,71.4,2153630.0
2000-03-01 00:00:00,424.0,22.0,19133.0,1253.9,596.0,71.4,2381035.0
2000-04-01 00:00:00,429.0,22.0,19458.0,1253.9,535.0,71.4,2286404.0
2000-05-01 00:00:00,433.0,23.0,18987.0,1253.9,585.0,71.4,2356873.0
2000-06-01 00:00:00,421.0,22.0,18753.0,1216.6,547.0,71.4,2328614.0
2000-07-01 00:00:00,427.0,22.0,18478.0,1216.6,571.0,71.4,2388352.0
2000-08-01 00:00:00,450.0,24.0,18749.0,1216.6,568.0,71.4,2307338.0
2000-09-01 00:00:00,451.0,24.0,19008.0,1586.5,562.0,71.4,2263915.0
2000-10-01 00:00:00,443.0,23.0,18485.0,1586.5,580.0,71.4,2374636.0
2000-11-01 00:00:00,474.0,25.0,18236.0,1586.5,585.0,71.4,2044078.0
2000-12-01 00:00:00,477.0,25.0,19828.0,1465.3,592.0,71.4,2313907.0
2001-01-01 00:00:00,463.0,25.0,20411.0,1465.3,597.0,71.4,2051241.0
2001-02-01 00:00:00,443.0,24.0,18511.0,1465.3,524.0,71.4,2106154.0
2001-03-01 00:00:00,429.0,23.0,21676.0,1274.3,602.0,71.4,2585769.0
2001-04-01 00:00:00,439.0,23.0,21032.0,1274.3,546.0,71.4,2307980.0
2001-05-01 00:00:00,445.0,24.0,21486.0,1274.3,599.0,71.4,2414938.0
2001-06-01 00:00:00,457.0,24.0,21317.0,1158.1,583.0,71.4,2487586.0
2001-07-01 00:00:00,425.0,23.0,20866.0,1158.1,532.0,71.4,2544125.0
2001-08-01 00:00:00,430.0,23.0,21374.0,1158.1,536.0,71.4,2221246.0
2001-09-01 00:00:00,406.0,22.0,20099.0,1296.6,454.0,71.4,2088779.0
2001-10-01 00:00:00,393.0,21.0,21367.0,1296.6,517.0,71.4,2182469.0
2001-11-01 00:00:00,469.0,25.0,20557.0,1296.6,571.0,71.4,2075693.0
2001-12-01 00:00:00,459.0,24.0,20810.0,1087.9,565.0,71.4,1953062.0
2002-01-01 00:00:00,450.0,24.0,22873.0,1087.9,552.0,71.4,2162331.0
2002-02-01 00:00:00,424.0,22.0,20834.0,1087.9,483.0,71.4,2043575.0
2002-03-01 00:00:00,373.0,20.0,23988.0,1080.2,524.0,71.4,2167478.0
2002-04-01 00:00:00,394.0,21.0,24675.0,1080.2,513.0,71.4,2254845.0
2002-05-01 00:00:00,455.0,24.0,23567.0,1080.2,618.0,71.4,2365374.0
2002-06-01 00:00:00,468.0,25.0,23064.0,931.7,601.0,71.4,2316499.0
2002-07-01 00:00:00,477.0,25.0,24333.0,931.7,616.0,71.4,2436706.0
2002-08-01 00:00:00,497.0,26.0,24922.0,931.7,616.0,71.4,2618723.0
2002-09-01 00:00:00,494.0,26.0,23798.0,1405.7,607.0,71.4,2505625.0
2002-10-01 00:00:00,485.0,26.0,24596.0,1405.7,609.0,71.4,2474543.0
2002-11-01 00:00:00,494.0,26.0,24167.0,1405.7,576.0,71.4,2532008.0
2002-12-01 00:00:00,493.0,26.0,25285.0,1281.4,612.0,71.4,2458119.0
2003-01-01 00:00:00,492.0,26.0,26397.0,1281.4,616.0,71.4,2512395.0
2003-02-01 00:00:00,507.0,26.0,23202.0,1281.4,577.0,71.4,2479925.0
2003-03-01 00:00:00,495.0,26.0,21897.0,1197.5,645.0,71.4,2372854.0
2003-04-01 00:00:00,511.0,27.0,27640.0,1197.5,601.0,71.4,2396467.0
2003-05-01 00:00:00,498.0,26.0,27697.0,1197.5,637.0,71.4,2375773.0
2003-06-01 00:00:00,528.0,28.0,38282.0,1180.3,627.0,71.4,2412484.0
2003-07-01 00:00:00,506.0,26.0,44605.0,1180.3,655.0,71.4,2757738.0
2003-08-01 00:00:00,527.0,27.0,34393.0,1180.3,651.0,71.4,2971394.0
2003-09-01 00:00:00,534.0,28.0,34867.0,1424.1,640.0,71.4,2540901.0
2003-10-01 00:00:00,531.0,28.0,36795.0,1424.1,660.0,71.4,2509873.0
2003-11-01 00:00:00,535.0,28.0,34596.0,1424.1,638.0,71.4,2531014.0
2003-12-01 00:00:00,542.0,28.0,32483.0,1331.5,668.0,71.4,2631046.0
2004-01-01 00:00:00,561.0,29.0,33282.0,1331.5,675.0,71.4,2508193.0
2004-02-01 00:00:00,542.0,28.0,29274.0,1331.5,643.0,71.4,2463063.0
2004-03-01 00:00:00,531.0,27.0,43164.0,1364.4,706.0,71.4,3033623.0
2004-04-01 00:00:00,536.0,28.0,33310.0,1364.4,642.0,71.4,2575407.0
2004-05-01 00:00:00,538.0,28.0,33479.0,1364.4,693.0,71.4,2618638.0
2004-06-01 00:00:00,554.0,29.0,33932.0,1241.5,682.0,71.4,2794086.0
2004-07-01 00:00:00,565.0,29.0,35555.0,1241.5,695.0,71.4,3076116.0
2004-08-01 00:00:00,572.0,29.0,33739.0,1241.5,702.0,71.4,3089828.0
2004-09-01 00:00:00,576.0,30.0,40039.0,1537.0,668.0,71.4,2966013.0
2004-10-01 00:00:00,560.0,29.0,32840.0,1537.0,692.0,71.4,3159557.0
2004-11-01 00:00:00,574.0,30.0,32863.0,1537.0,674.0,71.4,2782041.0
2004-12-01 00:00:00,578.0,30.0,35768.0,1614.4,685.0,71.4,2892841.0
2005-01-01 00:00:00,561.0,29.0,33915.0,1614.4,693.0,71.4,2801927.0
2005-02-01 00:00:00,582.0,30.0,32714.0,1614.4,643.0,71.4,2719952.0
2005-03-01 00:00:00,576.0,29.0,39103.0,1532.7,744.0,71.4,3189852.0
2005-04-01 00:00:00,587.0,30.0,38817.0,1532.7,680.0,71.4,3152568.0
2005-05-01 00:00:00,610.0,31.0,38363.0,1532.7,746.0,71.4,2973269.0
2005-06-01 00:00:00,596.0,30.0,55111.0,1373.7,732.0,71.4,3252274.0
2005-07-01 00:00:00,602.0,31.0,36526.0,1373.7,745.0,71.4,2957033.0
2005-08-01 00:00:00,631.0,32.0,38394.0,1373.7,768.0,71.4,3273232.0
2005-09-01 00:00:00,633.0,32.0,37006.0,1704.9,748.0,71.4,3278743.0
2005-10-01 00:00:00,620.0,32.0,37201.0,1704.9,765.0,71.4,3411856.0
2005-11-01 00:00:00,630.0,32.0,34770.0,1704.9,717.0,71.4,3082146.0
2005-12-01 00:00:00,616.0,31.0,39803.0,1735.4,771.0,71.4,3207808.0
2006-01-01 00:00:00,629.0,32.0,38237.0,1735.4,768.0,71.4,3202386.0
2006-02-01 00:00:00,632.0,32.0,36198.0,1735.4,716.0,71.4,2965668.0
2006-03-01 00:00:00,638.0,32.0,41334.0,1518.9,809.0,71.4,3644572.0
2006-04-01 00:00:00,645.0,32.0,41342.0,1518.9,757.0,71.4,3575746.0
2006-05-01 00:00:00,668.0,34.0,41489.0,1518.9,814.0,71.4,3658221.0
2006-06-01 00:00:00,669.0,34.0,38485.0,1642.9,788.0,71.4,3753571.0
2006-07-01 00:00:00,645.0,33.0,42602.0,1642.9,805.0,73.1,3531275.0
2006-08-01 00:00:00,676.0,34.0,39986.0,1642.9,799.0,73.1,3913018.0
2006-09-01 00:00:00,666.0,34.0,37193.0,1857.5,781.0,73.1,3524600.0
2006-10-01 00:00:00,659.0,33.0,39229.0,1857.5,786.0,73.1,3650157.0
2006-11-01 00:00:00,644.0,32.0,38708.0,1857.5,768.0,73.1,3498623.0
2006-12-01 00:00:00,654.0,33.0,40245.0,1863.3,797.0,73.1,3743137.0
2007-01-01 00:00:00,660.0,33.0,43392.0,1863.3,799.0,74.8,3613877.0
2007-02-01 00:00:00,661.0,33.0,38805.0,1863.3,734.0,74.8,3458386.0
2007-03-01 00:00:00,655.0,33.0,46020.0,1703.9,849.0,74.8,3946450.0
2007-04-01 00:00:00,665.0,33.0,42412.0,1703.9,757.0,74.8,3937200.0
2007-05-01 00:00:00,695.0,35.0,44322.0,1703.9,843.0,74.8,3873488.0
2007-06-01 00:00:00,700.0,35.0,43365.0,1836.2,812.0,74.8,3836680.0
2007-07-01 00:00:00,693.0,35.0,43699.0,1836.2,848.0,76.5,4099896.0
2007-08-01 00:00:00,716.0,36.0,43838.0,1836.2,850.0,76.5,3915867.0
2007-09-01 00:00:00,710.0,35.0,41462.0,2056.2,817.0,76.5,3940843.0
2007-10-01 00:00:00,721.0,36.0,43864.0,2056.2,850.0,76.5,4035495.0
2007-11-01 00:00:00,702.0,35.0,42370.0,2056.2,820.0,76.5,3669610.0
2007-12-01 00:00:00,699.0,35.0,43876.0,2043.6,837.0,76.5,4016428.0
2008-01-01 00:00:00,711.0,35.0,43810.0,2043.6,844.0,78.2,4025092.0
2008-02-01 00:00:00,712.0,35.0,40581.0,2043.6,796.0,78.2,3768373.0
2008-03-01 00:00:00,700.0,35.0,44653.0,1869.2,850.0,78.2,4263753.0
2008-04-01 00:00:00,728.0,36.0,46820.0,1869.2,793.0,78.2,4083550.0
2008-05-01 00:00:00,713.0,35.0,47078.0,1869.2,865.0,78.2,4330588.0
2008-06-01 00:00:00,712.0,35.0,39542.0,2005.0,817.0,78.2,4400138.0
2008-07-01 00:00:00,693.0,34.0,42537.0,2005.0,838.0,82.6,4303036.0
2008-08-01 00:00:00,692.0,34.0,41631.0,2005.0,834.0,82.6,4671978.0
2008-09-01 00:00:00,712.0,35.0,42218.0,2252.9,828.0,82.6,4559988.0
2008-10-01 00:00:00,704.0,35.0,43179.0,2252.9,824.0,82.6,4443929.0
2008-11-01 00:00:00,700.0,35.0,40820.0,2252.9,794.0,82.6,4083119.0
2008-12-01 00:00:00,675.0,33.0,46076.0,1983.5,812.0,82.6,3679114.0
2009-01-01 00:00:00,677.0,33.0,46405.0,1983.5,806.0,87.2,3299411.0
2009-02-01 00:00:00,673.0,33.0,40099.0,1983.5,731.0,87.2,3051111.0
2009-03-01 00:00:00,661.0,32.0,45087.0,1647.4,826.0,87.2,4076438.0
2009-04-01 00:00:00,671.0,33.0,47704.0,1647.4,776.0,87.2,3523425.0
2009-05-01 00:00:00,712.0,35.0,45861.0,1647.4,833.0,87.2,4067232.0
2009-06-01 00:00:00,712.0,35.0,46152.0,1541.3,820.0,87.2,4481385.0
2009-07-01 00:00:00,694.0,34.0,46783.0,1541.3,853.0,87.2,4387670.0
2009-08-01 00:00:00,726.0,35.0,45380.0,1541.3,845.0,87.2,4658315.0
2009-09-01 00:00:00,727.0,36.0,45327.0,1930.8,842.0,87.2,4317970.0
2009-10-01 00:00:00,709.0,35.0,50245.0,1930.8,856.0,87.2,4315075.0
