t,petroleum-petrol-sales-monthly,electricity-power-consumption-monthly,electricity-per-capita-electricity-consumption-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly,electricity-power-generation-monthly
1998-01-01 00:00:00,16960.0,360.0,19.0,71.4,464.0
1998-02-01 00:00:00,14920.0,369.0,20.0,71.4,423.0
1998-03-01 00:00:00,17000.0,357.0,19.0,71.4,477.0
1998-04-01 00:00:00,18007.0,364.0,19.0,71.4,445.0
1998-05-01 00:00:00,17223.0,379.0,20.0,71.4,481.0
1998-06-01 00:00:00,17118.0,388.0,21.0,71.4,2290.0
1998-07-01 00:00:00,17002.0,363.0,19.0,71.4,481.0
1998-08-01 00:00:00,16891.0,386.0,21.0,71.4,488.0
1998-09-01 00:00:00,17135.0,389.0,21.0,71.4,486.0
1998-10-01 00:00:00,17589.0,391.0,21.0,71.4,496.0
1998-11-01 00:00:00,16264.0,412.0,22.0,71.4,479.0
1998-12-01 00:00:00,18215.0,364.0,19.0,71.4,487.0
1999-01-01 00:00:00,16796.0,385.0,20.0,71.4,487.0
1999-02-01 00:00:00,16116.0,390.0,20.0,71.4,457.0
1999-03-01 00:00:00,18158.0,375.0,20.0,71.4,520.0
1999-04-01 00:00:00,18411.0,388.0,20.0,71.4,471.0
1999-05-01 00:00:00,17878.0,397.0,21.0,71.4,517.0
1999-06-01 00:00:00,17480.0,403.0,21.0,71.4,508.0
1999-07-01 00:00:00,18816.0,397.0,21.0,71.4,534.0
1999-08-01 00:00:00,17783.0,413.0,22.0,71.4,536.0
1999-09-01 00:00:00,17933.0,423.0,22.0,71.4,532.0
1999-10-01 00:00:00,17433.0,405.0,21.0,71.4,541.0
1999-11-01 00:00:00,17592.0,421.0,22.0,71.4,536.0
1999-12-01 00:00:00,18678.0,412.0,22.0,71.4,544.0
2000-01-01 00:00:00,17781.0,423.0,22.0,71.4,553.0
2000-02-01 00:00:00,17476.0,406.0,21.0,71.4,540.0
2000-03-01 00:00:00,19133.0,424.0,22.0,71.4,596.0
2000-04-01 00:00:00,19458.0,429.0,22.0,71.4,535.0
2000-05-01 00:00:00,18987.0,433.0,23.0,71.4,585.0
2000-06-01 00:00:00,18753.0,421.0,22.0,71.4,547.0
2000-07-01 00:00:00,18478.0,427.0,22.0,71.4,571.0
2000-08-01 00:00:00,18749.0,450.0,24.0,71.4,568.0
2000-09-01 00:00:00,19008.0,451.0,24.0,71.4,562.0
2000-10-01 00:00:00,18485.0,443.0,23.0,71.4,580.0
2000-11-01 00:00:00,18236.0,474.0,25.0,71.4,585.0
2000-12-01 00:00:00,19828.0,477.0,25.0,71.4,592.0
2001-01-01 00:00:00,20411.0,463.0,25.0,71.4,597.0
2001-02-01 00:00:00,18511.0,443.0,24.0,71.4,524.0
2001-03-01 00:00:00,21676.0,429.0,23.0,71.4,602.0
2001-04-01 00:00:00,21032.0,439.0,23.0,71.4,546.0
2001-05-01 00:00:00,21486.0,445.0,24.0,71.4,599.0
2001-06-01 00:00:00,21317.0,457.0,24.0,71.4,583.0
2001-07-01 00:00:00,20866.0,425.0,23.0,71.4,532.0
2001-08-01 00:00:00,21374.0,430.0,23.0,71.4,536.0
2001-09-01 00:00:00,20099.0,406.0,22.0,71.4,454.0
2001-10-01 00:00:00,21367.0,393.0,21.0,71.4,517.0
2001-11-01 00:00:00,20557.0,469.0,25.0,71.4,571.0
2001-12-01 00:00:00,20810.0,459.0,24.0,71.4,565.0
2002-01-01 00:00:00,22873.0,450.0,24.0,71.4,552.0
2002-02-01 00:00:00,20834.0,424.0,22.0,71.4,483.0
2002-03-01 00:00:00,23988.0,373.0,20.0,71.4,524.0
2002-04-01 00:00:00,24675.0,394.0,21.0,71.4,513.0
2002-05-01 00:00:00,23567.0,455.0,24.0,71.4,618.0
2002-06-01 00:00:00,23064.0,468.0,25.0,71.4,601.0
2002-07-01 00:00:00,24333.0,477.0,25.0,71.4,616.0
2002-08-01 00:00:00,24922.0,497.0,26.0,71.4,616.0
2002-09-01 00:00:00,23798.0,494.0,26.0,71.4,607.0
2002-10-01 00:00:00,24596.0,485.0,26.0,71.4,609.0
2002-11-01 00:00:00,24167.0,494.0,26.0,71.4,576.0
2002-12-01 00:00:00,25285.0,493.0,26.0,71.4,612.0
2003-01-01 00:00:00,26397.0,492.0,26.0,71.4,616.0
2003-02-01 00:00:00,23202.0,507.0,26.0,71.4,577.0
2003-03-01 00:00:00,21897.0,495.0,26.0,71.4,645.0
2003-04-01 00:00:00,27640.0,511.0,27.0,71.4,601.0
2003-05-01 00:00:00,27697.0,498.0,26.0,71.4,637.0
2003-06-01 00:00:00,38282.0,528.0,28.0,71.4,627.0
2003-07-01 00:00:00,44605.0,506.0,26.0,71.4,655.0
2003-08-01 00:00:00,34393.0,527.0,27.0,71.4,651.0
2003-09-01 00:00:00,34867.0,534.0,28.0,71.4,640.0
2003-10-01 00:00:00,36795.0,531.0,28.0,71.4,660.0
2003-11-01 00:00:00,34596.0,535.0,28.0,71.4,638.0
2003-12-01 00:00:00,32483.0,542.0,28.0,71.4,668.0
2004-01-01 00:00:00,33282.0,561.0,29.0,71.4,675.0
2004-02-01 00:00:00,29274.0,542.0,28.0,71.4,643.0
2004-03-01 00:00:00,43164.0,531.0,27.0,71.4,706.0
2004-04-01 00:00:00,33310.0,536.0,28.0,71.4,642.0
2004-05-01 00:00:00,33479.0,538.0,28.0,71.4,693.0
2004-06-01 00:00:00,33932.0,554.0,29.0,71.4,682.0
2004-07-01 00:00:00,35555.0,565.0,29.0,71.4,695.0
2004-08-01 00:00:00,33739.0,572.0,29.0,71.4,702.0
2004-09-01 00:00:00,40039.0,576.0,30.0,71.4,668.0
2004-10-01 00:00:00,32840.0,560.0,29.0,71.4,692.0
2004-11-01 00:00:00,32863.0,574.0,30.0,71.4,674.0
2004-12-01 00:00:00,35768.0,578.0,30.0,71.4,685.0
2005-01-01 00:00:00,33915.0,561.0,29.0,71.4,693.0
2005-02-01 00:00:00,32714.0,582.0,30.0,71.4,643.0
2005-03-01 00:00:00,39103.0,576.0,29.0,71.4,744.0
2005-04-01 00:00:00,38817.0,587.0,30.0,71.4,680.0
2005-05-01 00:00:00,38363.0,610.0,31.0,71.4,746.0
2005-06-01 00:00:00,55111.0,596.0,30.0,71.4,732.0
2005-07-01 00:00:00,36526.0,602.0,31.0,71.4,745.0
2005-08-01 00:00:00,38394.0,631.0,32.0,71.4,768.0
2005-09-01 00:00:00,37006.0,633.0,32.0,71.4,748.0
2005-10-01 00:00:00,37201.0,620.0,32.0,71.4,765.0
2005-11-01 00:00:00,34770.0,630.0,32.0,71.4,717.0
2005-12-01 00:00:00,39803.0,616.0,31.0,71.4,771.0
2006-01-01 00:00:00,38237.0,629.0,32.0,71.4,768.0
2006-02-01 00:00:00,36198.0,632.0,32.0,71.4,716.0
2006-03-01 00:00:00,41334.0,638.0,32.0,71.4,809.0
2006-04-01 00:00:00,41342.0,645.0,32.0,71.4,757.0
2006-05-01 00:00:00,41489.0,668.0,34.0,71.4,814.0
2006-06-01 00:00:00,38485.0,669.0,34.0,71.4,788.0
2006-07-01 00:00:00,42602.0,645.0,33.0,73.1,805.0
2006-08-01 00:00:00,39986.0,676.0,34.0,73.1,799.0
2006-09-01 00:00:00,37193.0,666.0,34.0,73.1,781.0
2006-10-01 00:00:00,39229.0,659.0,33.0,73.1,786.0
2006-11-01 00:00:00,38708.0,644.0,32.0,73.1,768.0
2006-12-01 00:00:00,40245.0,654.0,33.0,73.1,797.0
2007-01-01 00:00:00,43392.0,660.0,33.0,74.8,799.0
2007-02-01 00:00:00,38805.0,661.0,33.0,74.8,734.0
2007-03-01 00:00:00,46020.0,655.0,33.0,74.8,849.0
2007-04-01 00:00:00,42412.0,665.0,33.0,74.8,757.0
2007-05-01 00:00:00,44322.0,695.0,35.0,74.8,843.0
2007-06-01 00:00:00,43365.0,700.0,35.0,74.8,812.0
2007-07-01 00:00:00,43699.0,693.0,35.0,76.5,848.0
2007-08-01 00:00:00,43838.0,716.0,36.0,76.5,850.0
2007-09-01 00:00:00,41462.0,710.0,35.0,76.5,817.0
2007-10-01 00:00:00,43864.0,721.0,36.0,76.5,850.0
2007-11-01 00:00:00,42370.0,702.0,35.0,76.5,820.0
2007-12-01 00:00:00,43876.0,699.0,35.0,76.5,837.0
2008-01-01 00:00:00,43810.0,711.0,35.0,78.2,844.0
2008-02-01 00:00:00,40581.0,712.0,35.0,78.2,796.0
2008-03-01 00:00:00,44653.0,700.0,35.0,78.2,850.0
2008-04-01 00:00:00,46820.0,728.0,36.0,78.2,793.0
2008-05-01 00:00:00,47078.0,713.0,35.0,78.2,865.0
2008-06-01 00:00:00,39542.0,712.0,35.0,78.2,817.0
2008-07-01 00:00:00,42537.0,693.0,34.0,82.6,838.0
2008-08-01 00:00:00,41631.0,692.0,34.0,82.6,834.0
2008-09-01 00:00:00,42218.0,712.0,35.0,82.6,828.0
2008-10-01 00:00:00,43179.0,704.0,35.0,82.6,824.0
2008-11-01 00:00:00,40820.0,700.0,35.0,82.6,794.0
2008-12-01 00:00:00,46076.0,675.0,33.0,82.6,812.0
2009-01-01 00:00:00,46405.0,677.0,33.0,87.2,806.0
2009-02-01 00:00:00,40099.0,673.0,33.0,87.2,731.0
2009-03-01 00:00:00,45087.0,661.0,32.0,87.2,826.0
2009-04-01 00:00:00,47704.0,671.0,33.0,87.2,776.0
2009-05-01 00:00:00,45861.0,712.0,35.0,87.2,833.0
2009-06-01 00:00:00,46152.0,712.0,35.0,87.2,820.0
2009-07-01 00:00:00,46783.0,694.0,34.0,87.2,853.0
2009-08-01 00:00:00,45380.0,726.0,35.0,87.2,845.0
2009-09-01 00:00:00,45327.0,727.0,36.0,87.2,842.0
2009-10-01 00:00:00,50245.0,709.0,35.0,87.2,856.0
2009-11-01 00:00:00,42661.0,745.0,36.0,90.6,822.0
2009-12-01 00:00:00,46195.0,722.0,35.0,90.6,871.0
2010-01-01 00:00:00,48352.0,725.0,35.0,90.6,846.0
2010-02-01 00:00:00,45361.0,736.0,36.0,90.6,806.0
2010-03-01 00:00:00,54276.0,735.0,36.0,90.6,935.0
2010-04-01 00:00:00,51855.0,765.0,37.0,90.6,845.0
2010-05-01 00:00:00,50587.0,780.0,38.0,90.6,881.0
2010-06-01 00:00:00,51370.0,769.0,37.0,90.6,902.0
2010-07-01 00:00:00,52946.0,764.0,37.0,90.6,933.0
2010-08-01 00:00:00,50633.0,808.0,39.0,90.6,918.0
2010-09-01 00:00:00,51712.0,804.0,39.0,90.6,897.0
2010-10-01 00:00:00,52660.0,780.0,38.0,90.6,939.0
2010-11-01 00:00:00,51687.0,809.0,39.0,90.6,886.0
2010-12-01 00:00:00,55200.0,792.0,38.0,90.6,926.0
2011-01-01 00:00:00,53057.0,778.0,37.0,96.7,893.0
2011-02-01 00:00:00,48059.0,783.0,38.0,96.7,836.0
2011-03-01 00:00:00,56649.0,789.0,38.0,96.7,989.0
2011-04-01 00:00:00,56485.0,804.0,39.0,96.7,897.0
2011-05-01 00:00:00,58109.0,842.0,40.0,96.7,1002.0
2011-06-01 00:00:00,58785.0,847.0,41.0,96.7,963.0
2011-07-01 00:00:00,58657.0,852.0,41.0,96.7,1001.0
2011-08-01 00:00:00,58745.0,877.0,42.0,96.7,1014.0
2011-09-01 00:00:00,59809.0,873.0,42.0,96.7,986.0
2011-10-01 00:00:00,59605.0,870.0,42.0,96.7,990.0
2011-11-01 00:00:00,55677.0,864.0,41.0,96.7,958.0
2011-12-01 00:00:00,62362.0,845.0,40.0,96.7,998.0
2012-01-01 00:00:00,62383.0,867.0,42.0,100.0,981.0
2012-02-01 00:00:00,58022.0,853.0,42.0,100.0,926.0
2012-03-01 00:00:00,64876.0,875.0,43.0,100.0,1036.0
2012-04-01 00:00:00,61970.0,855.0,42.0,100.0,913.0
2012-05-01 00:00:00,64453.0,881.0,43.0,100.0,1038.0
2012-06-01 00:00:00,63545.0,887.0,43.0,100.0,982.0
2012-07-01 00:00:00,63205.0,877.0,43.0,100.0,1000.0
2012-08-01 00:00:00,63937.0,897.0,44.0,100.0,983.0
2012-09-01 00:00:00,60078.0,866.0,42.0,100.0,982.0
2012-10-01 00:00:00,65041.0,882.0,43.0,100.0,1012.0
2012-11-01 00:00:00,59765.0,864.0,42.0,100.0,965.0
2012-12-01 00:00:00,62394.0,870.0,43.0,100.0,983.0
2013-01-01 00:00:00,63258.0,865.0,42.0,103.4,984.0
2013-02-01 00:00:00,57205.0,855.0,42.0,103.4,909.0
2013-03-01 00:00:00,64555.0,885.0,43.0,103.4,1051.0
2013-04-01 00:00:00,67696.0,916.0,45.0,103.4,993.0
2013-05-01 00:00:00,71446.0,905.0,44.0,104.9,1018.0
2013-06-01 00:00:00,63973.0,874.0,42.0,104.9,963.0
2013-07-01 00:00:00,63283.0,870.0,42.0,108.2,1005.0
2013-08-01 00:00:00,66150.0,889.0,43.0,108.2,1013.0
2013-09-01 00:00:00,61174.0,884.0,43.0,106.6,966.0
2013-10-01 00:00:00,66164.0,895.0,43.0,109.9,1033.0
2013-11-01 00:00:00,64388.0,898.0,44.0,109.9,978.0
2013-12-01 00:00:00,64762.0,885.0,43.0,109.9,984.0
2014-01-01 00:00:00,66680.0,884.0,43.0,115.3,996.0
2014-02-01 00:00:00,59942.0,861.0,41.0,115.3,915.0
2014-03-01 00:00:00,68624.0,898.0,43.0,115.3,1063.0
2014-04-01 00:00:00,70105.0,902.0,43.0,115.3,983.0
2014-05-01 00:00:00,70814.0,920.0,44.0,115.3,1066.0
2014-06-01 00:00:00,67486.0,943.0,45.0,115.3,1040.0
2014-07-01 00:00:00,69904.0,946.0,46.0,115.3,1085.0
2014-08-01 00:00:00,68390.0,960.0,46.0,115.3,1058.0
2014-09-01 00:00:00,69094.0,948.0,46.0,115.3,1044.0
2014-10-01 00:00:00,70699.0,941.0,45.0,115.3,1059.0
2014-11-01 00:00:00,65608.0,932.0,45.0,128.8,1008.0
2014-12-01 00:00:00,66341.0,929.0,45.0,128.8,1038.0
2015-01-01 00:00:00,74664.0,918.0,44.0,128.8,1039.0
2015-02-01 00:00:00,71499.0,917.0,44.0,151.4,957.0
2015-03-01 00:00:00,78493.0,945.0,45.0,151.4,1118.0
2015-04-01 00:00:00,84234.0,947.0,45.0,151.4,1031.0
2015-05-01 00:00:00,82270.0,982.0,47.0,151.4,1129.0
2015-06-01 00:00:00,84867.0,1006.0,48.0,160.4,1103.0
2015-07-01 00:00:00,83695.0,1026.0,49.0,160.4,1159.0
2015-08-01 00:00:00,84077.0,1029.0,49.0,160.4,1143.0
2015-09-01 00:00:00,84273.0,1012.0,48.0,160.4,1099.0
2015-10-01 00:00:00,87444.0,1010.0,48.0,160.4,1125.0
2015-11-01 00:00:00,82509.0,999.0,48.0,160.4,1076.0
2015-12-01 00:00:00,90624.0,995.0,47.0,160.4,1112.0
2016-01-01 00:00:00,89306.0,1026.0,48.0,160.4,1144.0
2016-02-01 00:00:00,88599.0,1005.0,47.0,160.4,1082.0
2016-03-01 00:00:00,96352.0,1042.0,49.0,161.5,1214.0
2016-04-01 00:00:00,99156.0,1049.0,49.0,160.8,1144.0
2016-05-01 00:00:00,93524.0,1095.0,52.0,160.8,1168.0
2016-06-01 00:00:00,95488.0,1060.85,50.0,160.8,1176.0
2016-07-01 00:00:00,96723.0,1072.0,51.0,160.8,1211.0
2016-08-01 00:00:00,98467.0,1112.0,52.0,160.8,1243.0
2016-09-01 00:00:00,96616.0,1091.0,51.0,160.8,1197.0
2016-10-01 00:00:00,97830.0,1098.0,52.0,160.8,1219.0
2016-11-01 00:00:00,93312.0,1060.0,50.0,160.8,1151.0
2016-12-01 00:00:00,102828.0,1075.0,51.0,160.8,1198.0
2017-01-01 00:00:00,96158.0,1082.0,50.0,160.8,1163.0
2017-02-01 00:00:00,91622.0,1015.0,47.0,160.8,1075.0
2017-03-01 00:00:00,103739.0,1097.0,51.0,160.8,1263.0
2017-04-01 00:00:00,108307.0,1127.0,53.0,160.8,1197.0
2017-05-01 00:00:00,104787.0,1143.0,53.0,160.8,1261.0
2017-06-01 00:00:00,104640.0,1133.0,53.0,160.8,1237.0
2017-07-01 00:00:00,110244.0,1161.0,54.0,160.8,1292.0
2017-08-01 00:00:00,104495.0,1189.0,55.0,160.8,1307.0
2017-09-01 00:00:00,105213.0,1131.0,53.0,160.8,1216.0
2017-10-01 00:00:00,104308.0,1175.0,55.0,160.8,1265.0
2017-11-01 00:00:00,105252.0,1097.0,51.0,160.8,1184.0
2017-12-01 00:00:00,110753.0,1081.0,50.0,160.8,1211.0
2018-01-01 00:00:00,108152.0,1131.0,52.0,161.0,1241.0
2018-02-01 00:00:00,101819.0,1105.0,51.0,161.0,1152.0
2018-03-01 00:00:00,114219.0,1172.0,54.0,161.0,1328.0
2018-04-01 00:00:00,113175.0,1141.0,53.0,161.0,1202.0
2018-05-01 00:00:00,111732.3,1186.0,55.0,161.0,1296.0
2018-06-01 00:00:00,110559.0,1163.0,54.0,161.0,1268.0
2018-07-01 00:00:00,111214.0,1192.0,55.0,161.0,1312.0
2018-08-01 00:00:00,114872.0,1226.0,57.0,161.0,1334.0
2018-09-01 00:00:00,108891.0,1221.0,56.0,161.0,1293.0
2018-10-01 00:00:00,113153.0,1216.0,56.0,161.0,1303.0
2018-11-01 00:00:00,104922.0,1174.0,54.0,161.0,1246.0
2018-12-01 00:00:00,116481.0,1173.0,54.0,161.0,1268.0
2019-01-01 00:00:00,117398.0,1191.0,55.0,162.2,1305.0
2019-02-01 00:00:00,106486.0,1132.0,52.0,162.2,1218.0
2019-03-01 00:00:00,119049.0,1243.0,57.0,162.2,1382.0
2019-04-01 00:00:00,116827.0,1147.0,53.0,162.2,1229.0
2019-05-01 00:00:00,108699.0,1267.0,58.0,162.2,1423.0
2019-06-01 00:00:00,113700.0,1265.0,58.0,162.2,1354.0
2019-07-01 00:00:00,120448.0,1275.0,58.0,170.2,1387.0
2019-08-01 00:00:00,119519.0,1268.0,58.0,170.2,1355.0
2019-09-01 00:00:00,111839.0,1216.0,56.0,170.2,1262.0
2019-10-01 00:00:00,117930.0,1209.0,55.0,170.2,1288.0
2019-11-01 00:00:00,114847.0,1196.0,55.0,170.2,1258.0
2019-12-01 00:00:00,117357.0,1205.0,55.0,170.2,1278.0
2020-01-01 00:00:00,125890.0,1242.0,57.0,178.5,1355.0
2020-02-01 00:00:00,117524.0,1233.0,56.0,178.5,1308.0
2020-03-01 00:00:00,94550.0,892.0,41.0,178.5,1262.0
2020-04-01 00:00:00,44661.0,659.0,30.0,178.5,1039.0
2020-05-01 00:00:00,72378.0,1597.0,73.0,178.5,1266.0
2020-06-01 00:00:00,104005.0,1328.0,61.0,178.5,1340.0
2020-07-01 00:00:00,118037.0,1268.0,58.0,178.5,1403.0
2020-08-01 00:00:00,123220.0,1246.0,57.0,178.5,1371.0
2020-09-01 00:00:00,122013.0,1240.0,57.0,178.5,1343.0
2020-10-01 00:00:00,102620.0,1218.0,56.0,178.5,1373.0
2020-11-01 00:00:00,83847.0,1176.0,54.0,178.5,1258.0
2020-12-01 00:00:00,109823.0,1188.0,54.0,178.5,1333.0
2021-01-01 00:00:00,112575.0,1233.0,56.0,178.5,1345.0
2021-02-01 00:00:00,109429.0,1186.0,54.0,178.5,1271.0
2021-03-01 00:00:00,132243.0,1299.0,59.0,178.5,1474.0
2021-04-01 00:00:00,132191.0,1239.0,56.0,178.5,1400.0
2021-05-01 00:00:00,77529.0,1253.0,56.56,178.5,1377.0
2021-06-01 00:00:00,77731.0,1232.0,56.0,178.5,1343.0
2021-07-01 00:00:00,116392.0,1311.0,59.0,178.5,1471.0
2021-08-01 00:00:00,94543.0,1310.0,59.0,178.5,1427.0
2021-09-01 00:00:00,86764.0,1259.0,57.0,178.5,1358.0
2021-10-01 00:00:00,123023.0,1295.0,58.0,178.5,1435.0
2021-11-01 00:00:00,123967.0,1280.0,58.0,178.5,1375.0
2021-12-01 00:00:00,131535.0,1315.0,59.36,178.5,1440.0
2022-01-01 00:00:00,130874.0,1318.0,58.92,178.5,1456.0
2022-02-01 00:00:00,118320.0,1214.0,54.24,178.5,1313.0
2022-03-01 00:00:00,136773.0,1317.0,59.37,178.5,1432.0
2022-04-01 00:00:00,114815.0,1086.0,48.52,178.5,1255.0
2022-05-01 00:00:00,99446.0,1261.0,56.33,178.5,1381.0
2022-06-01 00:00:00,61392.0,1240.0,55.42,178.5,1338.0
2022-07-01 00:00:00,43978.0,1151.0,51.46,178.5,1317.0
2022-08-01 00:00:00,43978.0,1267.0,56.6,178.5,1339.0
2022-09-01 00:00:00,43978.0,1199.0,53.57,178.5,1316.0
2022-10-01 00:00:00,43978.0,1170.0,52.76,178.5,1309.0
2022-11-01 00:00:00,43978.0,1161.0,52.35,178.5,1249.0
2022-12-01 00:00:00,43978.0,1136.0,51.19,178.5,1235.0
2023-01-01 00:00:00,43978.0,1127.0,51.19,178.5,1223.84
2023-02-01 00:00:00,43978.0,1057.5,51.19,178.5,1163.79
2023-03-01 00:00:00,43978.0,1211.98,51.19,178.5,1354.95
2023-04-01 00:00:00,43978.0,1120.58,51.19,178.5,1256.5
2023-05-01 00:00:00,43978.0,1245.83,51.19,178.5,1352.84
2023-06-01 00:00:00,43978.0,1215.86,51.19,178.5,1291.07
2023-07-01 05:30:00,60306.68475137817,17518.648362493397,16354.387978278415,16479.061753904974,17614.90701399636
2023-07-31 05:30:00,53770.71353005424,11132.734050409656,9973.37806071071,10097.201579143468,11287.901747785018
2023-08-30 05:30:00,22841.81746330389,-20123.02243877021,-21295.024398801514,-21167.084021772058,-20214.959502892812
2023-09-29 05:30:00,65740.3794026653,23169.11638844799,22012.960915474447,22134.893074739826,23456.403469436147
2023-10-29 05:30:00,30993.54235706697,-11900.071362697217,-13071.120939938457,-12940.939843781294,-11966.9404644111
2023-11-28 05:30:00,28607.06072055368,-14136.564600918216,-15299.421435462176,-15173.250806214282,-14036.11586074196
2023-12-28 05:30:00,59652.30532805881,16963.914254573472,15801.799987632017,15932.997793158986,17102.24571108566
2024-01-27 05:30:00,19230.161306203496,-23722.835029200207,-24896.9007444648,-24768.798554461475,-23816.054207334157
2024-02-26 05:30:00,48555.59898664526,6025.475815573045,4870.874772059932,5001.995769837369,6257.680904690189
2024-03-27 05:30:00,46670.07608725883,3740.678522582786,2568.3962715783605,2695.627911642926,3677.9108672957045
2024-04-26 05:30:00,52448.60163451705,9810.957791433912,8651.194400435394,8779.82786993046,10014.37753167871
2024-05-26 05:30:00,49062.8202138488,6293.0917094687275,5129.790193700513,5257.069442638259,6338.3159437210115
